layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_post_00_ln_post,purity_scalar,scalar,50000,0.9401299909851326,0.03236719226753727,0.04173171855750058,0.969603094741768,0.8462705131245466,
mlp_post_01_linear_pre,purity_scalar,scalar,50000,0.9401299909851326,0.03236719226753727,0.04173171855750058,0.969603094741768,0.8462705131245466,
mlp_fe2_pre,purity_scalar,scalar,50000,0.9368136840212454,0.03378750449457714,0.042871938940981236,0.9678914546739776,0.8475877144884103,
mlp_post_00_ln_pre,purity_scalar,scalar,50000,0.9355315311338734,0.03333293825245758,0.04330472508952856,0.9672288933524621,0.843183341234206,
mlp_fe2_post,purity_scalar,scalar,50000,0.9355306322427087,0.03333658535349266,0.04330502698982005,0.9672284480682074,0.8431774968468845,
mlp_attn_post,purity_scalar,scalar,50000,0.9333410840679423,0.03381062409451995,0.0440342629296491,0.9660963563626296,0.8422106876287844,
mlp_post_01_linear_post,purity_scalar,scalar,50000,0.9138933320176907,0.03908372275540295,0.05004722478198942,0.9559776968699928,0.8361056304072352,
mlp_post_03_ln_pre,purity_scalar,scalar,50000,0.8460577524509655,0.05064767853477189,0.06691762510116403,0.9198141585815345,0.8080623510868742,
mlp_post_03_ln_post,purity_scalar,scalar,50000,0.8412267633490677,0.05187637515393063,0.06795951285162996,0.9171844090514236,0.8066194150232573,
mlp_post_05_linear_pre,purity_scalar,scalar,50000,0.8412267633490677,0.05187637515393063,0.06795951285162996,0.9171844090514236,0.8066194150232573,
